tenant_id,name,email,phone,age,marital_status,employment_status,job_title,employer_name,income,credit_score,previous_rental_history,property_id,property_type,property_location,rent_amount,lease_start_date,lease_end_date,deposit_amount,payment_status
fd9eca0c-7403-4925-a553-713f5dab43c1,Julia White,michael89@example.org,+254729839590,60,Widowed,Employed,Pensions consultant,"Smith, Blair and Haas",161570.46,795,Poor,8a797d8a-c416-4a3d-847a-e23d40584fd8,Apartment,South April,9744.62,2024-04-18,2025-08-31,9503.66,On-time
12daac04-82ee-4a70-a026-689fb8fe200e,Jennifer Chapman,sarahking@example.org,+254740871479,30,Widowed,Employed,"Engineer, chemical","Wright, Drake and Harris",124833.31,363,Average,d8872114-3e63-42ee-9913-7d767fb9c1ba,Single-family Home,Lake Jacqueline,24054.58,2022-06-04,2026-01-19,8152.49,Default
afb4095a-712c-4789-8c59-53febf3e26b9,Jesus Foster,guerreroelizabeth@example.net,+254759305764,38,Married,Student,"Exhibitions officer, museum/gallery",Mccullough-Brown,73016.78,796,Average,dc6a65db-ea31-40d8-8f42-1dda130be39a,Condominium,New Lauraberg,14104.54,2022-11-12,2026-01-22,8637.41,Late
2d44a036-cb7c-4e12-97b1-dcc1427077af,Melinda Clark,julielopez@example.org,+254751314774,51,Divorced,Self-Employed,"Scientist, physiological","Vincent, King and Santiago",176505.28,342,Average,b643bf0f-e707-4923-b7b5-3096d571ba54,Single-family Home,Laurenchester,7376.12,2022-08-23,2026-05-06,9012.36,On-time
8395f835-89bd-4b88-81a0-30292f069d02,Rebecca Martinez,pjones@example.net,+254796411048,66,Married,Retired,Economist,Flynn-Taylor,109425.07,749,Good,2cbef3e2-c937-4e68-8ac1-9a19ed89a11f,Apartment,Lake Julieview,8954.76,2023-10-02,2026-04-17,8173.42,On-time
af2138e1-94b6-464a-bc3b-1468e86f839d,Sarah Kelly,hartelizabeth@example.org,+254722852640,40,Widowed,Employed,Engineering geologist,Carter Group,138982.03,449,Good,bc7c67ee-fab2-448c-814f-a5f1ec1cfb6f,Condominium,Barrettmouth,28357.89,2022-12-21,2024-08-08,6557.19,On-time
073c9ed2-cb37-479a-b584-4e025a6fc040,Elizabeth Kennedy,ryanjohn@example.com,+254782340845,60,Married,Unemployed,Jewellery designer,Jackson-Sandoval,31745.04,401,Good,ae5de5e0-71eb-4640-8db4-6ec41945623c,Single-family Home,Stewartborough,34067.92,2022-11-13,2025-10-30,7815.02,Late
13b645c0-25aa-4c58-b0e7-f070fc51528e,Christopher Peterson,lamhunter@example.net,+254727928300,54,Divorced,Unemployed,Architectural technologist,Mendoza and Sons,56710.72,515,Poor,72b9a939-556c-4317-8df5-544330fb7682,Single-family Home,South Benjaminshire,16699.79,2024-01-17,2025-06-13,6880.59,Late
fc4cef37-c744-4675-9fcb-80a518e7a954,Joseph Jones,dana49@example.net,+254710223342,49,Married,Employed,Higher education careers adviser,"Miller, Fitzgerald and Mcgrath",54472.01,424,Poor,dde809dd-6ba8-4919-af1e-2cccfb78e90b,Apartment,New Blake,21678.48,2023-03-06,2024-07-28,6572.65,Default
b60c2d06-02e1-43bd-9021-35d80f2d3b6c,Courtney Nelson,alexander93@example.org,+254788958318,65,Married,Employed,Forest/woodland manager,"Wang, Mills and Kline",87383.03,608,Average,a327d6fd-aadf-4898-87b9-88aa770154c8,Single-family Home,Lambertfurt,19244.05,2024-02-18,2025-10-13,7390.64,Default
